reaction_id	reaction_id_type	components	Reaction	mel_type	bridge_position
m_273232bbbjc	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232bbbab	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232bbbka	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232bbbqa	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232bbbqb	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232bbbqc	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232bbbra	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232bbbrb	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232bbbjd	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232bbbsb	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232bbbpc	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232bbbsc	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232bbbtb	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232bbbtc	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232bbbva	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232bbbvb	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232bbbwa	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
